############################ Log - Start ############################
# Log initialized at: 06/06/14 17:15:06
# motor device
Time	motor/omsvme58_exp/27	motor/omsvme58_exp/39	motor/omsvme58_exp/33	Timestamp	Datetime
40.151	8.000	15.000	3.000	1402067747.15	06/06/14 17:15:47
40.288	9.000	15.000	3.000	1402067747.29	06/06/14 17:15:47
40.424	10.000	15.000	3.000	1402067747.43	06/06/14 17:15:47
40.564	11.000	15.000	3.000	1402067747.57	06/06/14 17:15:47
40.712	12.000	15.000	3.000	1402067747.71	06/06/14 17:15:47
40.881	13.000	15.000	3.000	1402067747.86	06/06/14 17:15:47
40.985	14.000	15.000	3.000	1402067747.99	06/06/14 17:15:47
41.123	15.000	15.000	3.000	1402067748.11	06/06/14 17:15:48
44.414	15.000	0.000	3.000	1402067751.42	06/06/14 17:15:51
44.550	15.000	1.000	3.000	1402067751.56	06/06/14 17:15:51
44.689	15.000	2.000	3.000	1402067751.69	06/06/14 17:15:51
44.826	15.000	3.000	3.000	1402067751.83	06/06/14 17:15:51
44.963	15.000	4.000	3.000	1402067751.97	06/06/14 17:15:51
45.101	15.000	5.000	3.000	1402067752.1	06/06/14 17:15:52
45.238	15.000	6.000	3.000	1402067752.24	06/06/14 17:15:52
45.374	15.000	7.000	3.000	1402067752.38	06/06/14 17:15:52
45.511	15.000	8.000	3.000	1402067752.52	06/06/14 17:15:52
45.651	15.000	9.000	3.000	1402067752.65	06/06/14 17:15:52
45.787	15.000	10.000	3.000	1402067752.79	06/06/14 17:15:52
45.924	15.000	11.000	3.000	1402067752.93	06/06/14 17:15:52
46.061	15.000	12.000	3.000	1402067753.06	06/06/14 17:15:53
46.200	15.000	13.000	3.000	1402067753.2	06/06/14 17:15:53
46.338	15.000	14.000	3.000	1402067753.34	06/06/14 17:15:53
46.476	15.000	15.000	3.000	1402067753.46	06/06/14 17:15:53
46.553	15.000	15.000	3.000	1402067753.55	06/06/14 17:15:53
49.904	0.000	15.000	4.000	1402067756.91	06/06/14 17:15:56
50.041	1.000	15.000	4.000	1402067757.04	06/06/14 17:15:57
50.177	2.000	15.000	4.000	1402067757.18	06/06/14 17:15:57
50.315	3.000	15.000	4.000	1402067757.32	06/06/14 17:15:57
50.451	4.000	15.000	4.000	1402067757.45	06/06/14 17:15:57
50.587	5.000	15.000	4.000	1402067757.59	06/06/14 17:15:57
50.727	6.000	15.000	4.000	1402067757.73	06/06/14 17:15:57
50.777	7.000	15.000	4.000	1402067757.78	06/06/14 17:15:57
50.916	8.000	15.000	4.000	1402067757.92	06/06/14 17:15:57
51.054	9.000	15.000	4.000	1402067758.06	06/06/14 17:15:58
51.104	10.000	15.000	4.000	1402067758.11	06/06/14 17:15:58
51.245	11.000	15.000	4.000	1402067758.25	06/06/14 17:15:58
51.382	12.000	15.000	4.000	1402067758.38	06/06/14 17:15:58
51.526	13.000	15.000	4.000	1402067758.53	06/06/14 17:15:58
51.666	14.000	15.000	4.000	1402067758.67	06/06/14 17:15:58
51.804	15.000	15.000	4.000	1402067758.79	06/06/14 17:15:58
55.148	15.000	0.000	4.000	1402067762.15	06/06/14 17:16:02
55.289	15.000	1.000	4.000	1402067762.29	06/06/14 17:16:02
55.428	15.000	2.000	4.000	1402067762.43	06/06/14 17:16:02
55.564	15.000	3.000	4.000	1402067762.57	06/06/14 17:16:02
55.704	15.000	4.000	4.000	1402067762.71	06/06/14 17:16:02
55.840	15.000	5.000	4.000	1402067762.84	06/06/14 17:16:02
55.977	15.000	6.000	4.000	1402067762.98	06/06/14 17:16:02
56.114	15.000	7.000	4.000	1402067763.12	06/06/14 17:16:03
56.252	15.000	8.000	4.000	1402067763.26	06/06/14 17:16:03
56.388	15.000	9.000	4.000	1402067763.39	06/06/14 17:16:03
56.526	15.000	10.000	4.000	1402067763.53	06/06/14 17:16:03
56.663	15.000	11.000	4.000	1402067763.67	06/06/14 17:16:03
56.800	15.000	12.000	4.000	1402067763.82	06/06/14 17:16:03
56.939	15.000	13.000	4.000	1402067763.94	06/06/14 17:16:03
57.075	15.000	14.000	4.000	1402067764.08	06/06/14 17:16:04
57.212	15.000	15.000	4.000	1402067764.2	06/06/14 17:16:04
57.325	15.000	15.000	4.000	1402067764.33	06/06/14 17:16:04
60.730	0.000	15.000	5.000	1402067767.74	06/06/14 17:16:07
60.872	1.000	15.000	5.000	1402067767.88	06/06/14 17:16:07
61.010	2.000	15.000	5.000	1402067768.01	06/06/14 17:16:08
61.148	3.000	15.000	5.000	1402067768.15	06/06/14 17:16:08
61.285	4.000	15.000	5.000	1402067768.3	06/06/14 17:16:08
61.425	5.000	15.000	5.000	1402067768.43	06/06/14 17:16:08
61.562	6.000	15.000	5.000	1402067768.58	06/06/14 17:16:08
61.628	7.000	15.000	5.000	1402067768.62	06/06/14 17:16:08
61.662	8.000	15.000	5.000	1402067768.66	06/06/14 17:16:08
61.797	9.000	15.000	5.000	1402067768.8	06/06/14 17:16:08
61.934	10.000	15.000	5.000	1402067768.94	06/06/14 17:16:08
62.070	11.000	15.000	5.000	1402067769.07	06/06/14 17:16:09
62.208	12.000	15.000	5.000	1402067769.22	06/06/14 17:16:09
62.343	13.000	15.000	5.000	1402067769.35	06/06/14 17:16:09
62.482	14.000	15.000	5.000	1402067769.49	06/06/14 17:16:09
62.620	15.000	15.000	5.000	1402067769.6	06/06/14 17:16:09

# Log finished at: 06/06/14 17:16:10
############################# Log - End #############################
